기준년도,학교종류명,설립구분명,학교명,단과대학명,학과명(전공),구분명,학과특성명,졸업자수,국내+해외 취업자수,진학자수,기타인원수1(입대자수+외국인유학생+건강보험직장가입제외대상자수),기타인원수2,취업률(%)[ J / [I - (K+L)] ] *100(%)
2014,대학교,사립,아주대학교 _본교,자연과학대학,물리학과,주간,일반과정,21,6,13,0,2,75
2014,대학교,사립,아주대학교 _본교,자연과학대학,생명과학과,주간,일반과정,51,10,17,1,23,30.3
2014,대학교,사립,아주대학교 _본교,자연과학대학,수학과,주간,일반과정,43,19,6,1,17,52.8
2014,대학교,사립,아주대학교 _본교,자연과학대학,화학과,주간,일반과정,40,19,14,0,7,73.1
2014,대학교,사립,아주대학교 _본교,공과대학,건설시스템공학과,주간,일반과정,47,22,6,0,19,53.7
2014,대학교,사립,아주대학교 _본교,공과대학,건축학과,주간,일반과정,67,37,8,0,22,62.7
2014,대학교,사립,아주대학교 _본교,공과대학,교통시스템공학과,주간,일반과정,24,12,4,0,8,60
2014,대학교,사립,아주대학교 _본교,공과대학,기계공학과,주간,일반과정,194,129,31,1,33,79.6
2014,대학교,사립,아주대학교 _본교,공과대학,산업공학과,주간,일반과정,102,60,20,0,20,73.2
2014,대학교,사립,아주대학교 _본교,공과대학,신소재공학과,주간,일반과정,20,10,6,0,4,71.4
2014,대학교,사립,아주대학교 _본교,공과대학,응용화학생명공학과,주간,일반과정,79,30,36,0,13,69.8
2014,대학교,사립,아주대학교 _본교,공과대학,화학공학과,주간,일반과정,77,59,7,1,10,85.5
2014,대학교,사립,아주대학교 _본교,공과대학,환경공학과,주간,일반과정,29,16,5,0,8,66.7
2014,대학교,사립,아주대학교 _본교,정보통신대학,미디어학과,주간,일반과정,104,69,9,0,26,72.6
2014,대학교,사립,아주대학교 _본교,정보통신대학,전자공학과,주간,일반과정,200,124,46,1,29,81
2014,대학교,사립,아주대학교 _본교,정보통신대학,정보컴퓨터공학과,주간,일반과정,143,87,42,0,14,86.1
2014,대학교,사립,아주대학교 _본교,사회과학대학,심리학과,주간,일반과정,60,20,22,0,18,52.6
